FileName,Tag,TagName,VR,Value
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0030) : PixelSpacing;DecimalString;System.Double;2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0100) : BitsAllocated;UnsignedShort;System.UInt16;32
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0101) : BitsStored;UnsignedShort;System.UInt16;32
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0102) : HighBit;UnsignedShort;System.UInt16;31
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0103) : PixelRepresentation;UnsignedShort;System.UInt16;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,000A) : DoseSummationType;CodeString;System.String;PLAN
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,000C) : GridFrameOffsetVector;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,000E) : DoseGridScaling;DecimalString;System.Double;1,6699041546E-05
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0014) : TissueHeterogeneityCorrection;CodeString;System.String;IMAGE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0050) : DVHSequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 11 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;4282
